순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,김규성,KIA,0.385,14,19,13,5,5,1,0,0,6,2,3,0,3,0,0,2,0,0.462,0.500,0.962,1,0.667,0.000
2,데일,KIA,0.345,15,67,58,10,20,4,0,0,24,5,1,1,7,0,0,7,1,0.414,0.409,0.823,5,0.250,0.000
3,박정우,KIA,0.333,12,3,3,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0.333,0.333,0.666,0,0.500,0.000
4,박재현,KIA,0.323,14,37,31,7,10,2,0,0,12,5,3,0,3,0,0,6,0,0.387,0.382,0.769,2,0.500,0.000
5,김선빈,KIA,0.315,16,71,54,10,17,3,0,1,23,9,0,1,15,1,1,5,1,0.426,0.465,0.891,5,0.313,0.000
6,한준수,KIA,0.308,16,53,39,9,12,4,0,2,22,8,1,1,12,1,0,5,3,0.564,0.462,1.026,4,0.500,0.000
7,카스트로,KIA,0.286,15,67,63,12,18,7,0,2,31,14,0,1,3,0,0,17,2,0.492,0.313,0.805,6,0.263,0.000
8,김호령,KIA,0.277,16,74,65,7,18,5,0,1,26,8,3,0,4,0,2,13,1,0.400,0.338,0.738,7,0.273,0.000
9,김도영,KIA,0.254,16,70,59,12,15,3,0,5,33,14,0,1,9,2,1,10,2,0.559,0.357,0.916,3,0.263,0.000
10,나성범,KIA,0.246,15,65,57,8,14,1,0,3,24,12,0,1,6,0,1,17,0,0.421,0.323,0.744,2,0.500,0.000
11,김태군,KIA,0.214,6,14,14,0,3,1,0,0,4,0,0,0,0,0,0,2,1,0.286,0.214,0.500,0,0.000,0.000
12,고종욱,KIA,0.200,4,7,5,0,1,0,0,0,1,1,0,0,2,0,0,2,0,0.200,0.429,0.629,0,0.333,0.333
13,박민,KIA,0.182,7,13,11,0,2,0,0,0,2,1,1,0,1,0,0,2,0,0.182,0.250,0.432,1,0.500,0.000
14,박상준,KIA,0.176,7,23,17,2,3,0,0,0,3,0,0,0,6,0,0,6,0,0.176,0.391,0.567,1,0.000,0.000
