순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,최지민,KIA,0.00,4,0,0,0,0,-,2 1/3,2,0,3,1,2,0,0,2.14,0,0,0,0,13,58,0.250,1,0,1,0,0,0,0
1,한재승,KIA,0.00,3,0,0,0,1,-,3,1,0,0,0,1,0,0,0.33,0,0,0,0,10,27,0.100,0,0,0,0,0,0,0
1,홍건희,KIA,0.00,3,0,0,0,1,-,3,4,0,0,0,2,1,0,1.33,0,0,0,0,14,61,0.286,1,0,0,0,0,0,0
4,올러,KIA,1.00,3,3,0,0,0,1.000,18,11,0,5,0,15,2,2,0.89,0,0,2,0,69,269,0.172,1,0,0,0,0,1,0
4,이태양,KIA,1.00,6,1,0,0,1,1.000,9,4,0,2,1,3,1,1,0.67,0,0,0,0,33,139,0.138,1,0,0,1,0,0,0
6,성영탁,KIA,1.08,8,0,0,2,3,-,8 1/3,6,0,1,0,6,1,1,0.84,0,0,0,0,32,113,0.194,1,0,0,0,1,1,0
7,네일,KIA,2.35,4,1,1,0,0,0.500,23,17,1,4,3,17,6,6,0.91,0,0,2,0,90,374,0.205,4,0,0,0,0,1,0
8,조상우,KIA,2.57,7,1,1,0,1,0.500,7,7,0,2,0,4,3,2,1.29,0,0,0,1,29,107,0.269,2,0,0,1,0,1,0
9,김범수,KIA,3.38,9,0,0,1,4,-,5 1/3,3,0,5,0,7,3,2,1.50,0,0,0,0,24,99,0.158,0,0,0,0,0,0,0
10,양현종,KIA,3.45,3,1,1,0,0,0.500,15 2/3,8,1,8,0,11,6,6,1.02,0,0,1,0,64,254,0.143,2,0,0,0,0,0,0
11,김태형,KIA,7.94,3,0,1,0,0,0.000,11 1/3,18,3,6,1,5,10,10,2.12,0,0,0,0,58,233,0.353,0,0,0,0,0,1,0
12,김기훈,KIA,9.00,1,0,0,0,0,-,1,0,0,2,0,1,1,1,2.00,0,0,0,0,5,23,0.000,0,0,0,1,0,1,0
13,홍민규,KIA,9.45,6,1,0,0,0,1.000,6 2/3,9,1,4,0,8,7,7,1.95,0,0,0,0,33,129,0.310,3,0,0,0,0,3,0
14,황동하,KIA,9.90,5,1,0,0,1,1.000,10,13,5,7,0,8,11,11,2.00,0,0,0,0,49,233,0.310,2,0,0,0,0,0,0
15,이의리,KIA,11.42,3,0,2,0,0,0.000,8 2/3,13,3,10,0,8,11,11,2.65,0,0,0,0,49,195,0.351,3,1,1,1,0,1,0
16,김시훈,KIA,13.50,2,0,0,0,0,-,2,2,0,2,1,2,3,3,2.00,0,0,0,0,12,41,0.250,2,0,1,0,0,0,0
16,전상현,KIA,13.50,4,0,1,0,2,0.000,3 1/3,6,0,1,1,3,5,5,2.10,0,0,0,1,18,59,0.375,2,0,0,0,0,0,0
18,정해영,KIA,16.88,4,0,0,1,0,-,2 2/3,3,1,4,0,1,5,5,2.63,0,0,0,0,15,55,0.273,1,0,0,0,1,0,0
1,문용익,KT,-,1,0,0,0,0,-,0,1,0,1,0,0,1,1,-,0,0,0,0,2,11,1.000,0,0,0,0,0,0,0
1,보쉴리,KT,0.00,3,3,0,0,0,1.000,17,14,0,5,0,17,0,0,1.12,0,0,2,0,68,287,0.222,1,1,0,0,0,0,0
3,오원석,KT,1.59,3,2,1,0,0,0.667,17,16,1,2,0,18,5,3,1.06,0,0,2,0,69,262,0.242,3,0,0,1,0,0,0
4,박영현,KT,1.93,8,1,0,6,0,1.000,9 1/3,5,0,3,0,9,2,2,0.86,0,0,0,0,36,147,0.161,1,0,1,1,0,1,0
5,한승혁,KT,2.00,10,1,0,0,3,1.000,9,8,0,7,0,10,4,2,1.67,0,0,0,1,44,164,0.216,1,0,0,0,0,0,0
